,F,V,R0,eta,gamma,alpha
0,2.9119737502923875,1.755922684461445e-07,0.007267490474459795,0.9052799636126749,0.048731484214995804,0.2529222610814466
1,2.94491381549398,2.4301480162559117e-07,0.007411073432600069,0.8803239699549783,0.0422357406746796,0.16171659710566455
2,2.7270256915071007,2.167426429437619e-07,0.00746033486225184,0.8700952915343259,0.04107148360701004,0.2894188891921485
3,2.822246686039699,1.7581291183783624e-07,0.007749859134436476,0.9221931485525718,0.04685641555284021,0.240071033658096
4,2.7219351062035417,1.9507722070605487e-07,0.007617477317787082,0.8749974132186381,0.04836337478083183,0.2779426695920982
5,2.7535318167169223,1.760064296857136e-07,0.007666449317588029,0.8953740651695188,0.044724338802237536,0.3014665072317311
6,2.7653696255576694,2.3693468476752505e-07,0.007430411441151948,0.8204148986059916,0.04900183251759033,0.317517430801113
7,2.7005996179740377,1.6554530440692004e-07,0.007557353175610051,0.926034088325877,0.047800515626888876,0.11315681952094041
8,2.831924730948819,2.577152884406933e-07,0.007505783376600298,0.8430738648480216,0.042999001109802905,0.47150284522823943
9,2.8624028745650527,2.4563206081363784e-07,0.007532222444083855,0.9067665724724334,0.04329716473205484,0.06380846746673385
10,2.897400710331577,1.9623283685499092e-07,0.00743403146298725,0.8450155317356031,0.04787444952132427,0.23128138184768549
11,2.9882442654628205,2.1006645350417196e-07,0.007683184066343116,0.9170903277363741,0.048200916999498675,0.26022726247292827
12,2.873909695694699,1.8185079159158778e-07,0.00765745303122569,0.8688105053633282,0.04758667030581284,0.5683243478704573
13,2.8215033846601476,2.3295210497455933e-07,0.007415219556536365,0.8759778486097324,0.04732819464686809,0.22448695521133183
14,2.8849764855535036,1.7505754294395412e-07,0.007572092459584297,0.9159634829082198,0.04081765311620805,0.23113392737267013
15,2.7630799250313345,1.7191443154939885e-07,0.007542206095688019,0.9133874554431579,0.04811937128178674,0.45216879797073084
16,2.824782756775456,1.8722257228337412e-07,0.00751118665257183,0.9527338969486585,0.04507919387100741,0.6555406936475198
17,2.66846960993736,2.1730426108969445e-07,0.0074957385867291774,0.8913274827368891,0.04236766049197073,0.23423876599595117
18,2.839251864648548,1.9315959825672045e-07,0.007626269977590976,0.9506108989939438,0.0477887183446542,0.3495699277438789
19,2.78224038851558,2.0021491618371248e-07,0.007520835423371103,1.006742579277897,0.043586984231078256,0.17438514594406687
20,2.8446484353235637,2.2497209334929683e-07,0.007760447723219378,0.98729101345425,0.04675380500817646,0.10264042439839538
21,2.8659933530556714,1.861084358312303e-07,0.007106607514540374,0.8197636428746264,0.04113856137193991,0.43703367485926803
22,2.71566216685697,2.081144305587897e-07,0.00738719615908067,0.9689553667980481,0.042416847457613135,0.2555823555979498
23,2.8264973006302894,1.9662730886647723e-07,0.0075151796566752535,0.9526604222257163,0.04010995479246108,0.11314627669948367
24,2.843147786040232,1.8811110273171733e-07,0.007744178419183101,1.016503612943619,0.04175546311003031,0.3786783206802172
25,2.8139292038837644,1.8274035086588457e-07,0.007390865317784083,0.9421708164757113,0.04754936267406911,0.09080243168478995
26,2.782581476306379,1.968409194077296e-07,0.007508714094763896,0.987942635863613,0.045509225871949346,0.2790123416974531
27,2.803681554651364,2.545720390433172e-07,0.007789277830507892,0.8508268748025104,0.04685362376678887,0.2867370835666912
28,2.8277985100244183,1.9387215960872618e-07,0.00757502111388519,0.930283019189473,0.04657466876559649,0.3179468946379903
29,2.7128364625633528,2.1505044385493476e-07,0.007613972198545997,0.9354923380674532,0.04978569363114059,0.4620393490953971
30,2.691659244230065,1.901102716097917e-07,0.007603202889510248,0.9037914760363331,0.042447495612445006,0.2765161360810256
31,2.670642980898291,2.0702162551734997e-07,0.007523046152318248,0.8195645255399544,0.044751277113288385,0.16864490152914224
32,2.8653120439640265,2.5009655833875987e-07,0.007562807488417817,0.9295098065750137,0.04426037336691099,0.11223619335959852
33,2.8061818403413343,2.2382906821414514e-07,0.0075459649307406725,0.875653944608222,0.042582875709710345,0.46083311158046303
