,F,V,R0,eta
0,5.616433251405969,3.0528171559807055e-07,0.008239421481926992,0.9052799636126749
1,5.630343191007218,3.187852696237568e-07,0.008058127501314502,0.8803239699549783
2,5.782276222523688,2.671749387806503e-07,0.007761317345957476,0.8700952915343259
3,5.6993319762048085,2.88041984803249e-07,0.008182847035206414,0.9221931485525718
4,5.6363311823217055,2.92406144953331e-07,0.008131064143255375,0.8749974132186381
5,5.726608323449785,3.106470259545529e-07,0.00787148918644709,0.8953740651695188
6,5.7909480478679285,2.928319374010836e-07,0.008195017457181672,0.8204148986059916
7,5.775077669656738,3.03790967904919e-07,0.007891647107313778,0.926034088325877
8,5.805313992956939,3.0634286881605727e-07,0.007906675759861264,0.8430738648480216
9,5.801707709177813,2.8860562444431997e-07,0.00791191429865528,0.9067665724724334
10,5.770686280436079,2.7990786720781325e-07,0.007879722386486876,0.8450155317356031
11,5.650205966038556,2.797047217486736e-07,0.008217637885317446,0.9170903277363741
12,5.721656637628559,2.997013883213681e-07,0.008077258559781201,0.8688105053633282
13,5.8030400949210454,3.0467036113749973e-07,0.007774504207801784,0.8759778486097324
14,5.681876659105058,3.030948148986738e-07,0.008343457131671986,0.9159634829082198
15,5.741064216770968,3.037885541919303e-07,0.0076736101850533416,0.9133874554431579
16,5.775749146616769,2.9389859309117535e-07,0.008480611557909237,0.9527338969486585
17,5.646716830449678,2.9494374218141433e-07,0.008141783366279142,0.8913274827368891
18,5.768089661202658,3.020963961109543e-07,0.008153730561062767,0.9506108989939438
19,5.6939900188604184,2.89214954152567e-07,0.008480548432841172,1.006742579277897
20,5.713500635485719,3.069832862228335e-07,0.007883169442777987,0.98729101345425
21,5.71235417607919,2.8730229187892113e-07,0.008187011542153441,0.8197636428746264
22,5.710826314301074,3.1897980553452167e-07,0.00829076367910825,0.9689553667980481
23,5.593151127332693,3.2564702256807075e-07,0.0081587435586328,0.9526604222257163
24,5.54412754951633,3.130143193773978e-07,0.00859743782708548,1.016503612943619
25,5.790183314150814,3.038268423680226e-07,0.008558629910400467,0.9421708164757113
26,5.810602812298673,2.8332834398655765e-07,0.008269397981809933,0.987942635863613
27,5.801968076853469,2.856614949135481e-07,0.008222399489332122,0.8508268748025104
28,5.679904807893672,3.015856915528151e-07,0.008097258289209076,0.930283019189473
29,5.789397428288287,3.0620084760195956e-07,0.008176873976337418,0.9354923380674532
30,5.805724110551032,2.7251407996088505e-07,0.008007995284732847,0.9037914760363331
31,5.6780733840543425,3.0193206983440924e-07,0.008616278913671626,0.8195645255399544
32,5.693530354333029,2.887902914473041e-07,0.00831262412189493,0.9295098065750137
33,5.625659789004706,2.9373086133334915e-07,0.00830460767486329,0.875653944608222
34,5.730417239100758,2.918479239382858e-07,0.008184494184590383,0.8499934201670508
35,5.708999286988617,2.8557291820849063e-07,0.007665227966840427,0.8462885360256169
36,5.627809008498422,3.1137282937778957e-07,0.007980118904233403,0.9949553429505982
37,5.7843914627436845,2.9039995173565297e-07,0.0076530954209390436,0.8105274922455314
